Node,Cluster
0,0
1,0
2,0
3,0
4,0
5,4
6,4
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,4
27,4
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,5
48,5
49,4
50,4
51,4
52,4
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,4
61,4
62,4
63,5
64,5
65,5
66,4
67,4
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,5
84,4
85,5
86,5
87,5
88,5
89,2
90,2
91,2
92,5
93,5
94,2
95,2
96,1
97,1
98,2
99,2
100,2
101,2
102,3
103,3
104,1
105,1
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,1
114,1
115,1
116,1
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,2
134,2
135,2
136,2
137,2
138,2
139,1
140,1
141,1
142,1
143,1
144,2
145,2
146,2
147,2
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,1
173,1
174,1
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
