Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,5
6,5
7,5
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,5
27,5
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,3
39,3
40,0
41,5
42,5
43,5
44,5
45,5
46,5
47,0
48,0
49,5
50,5
51,5
52,5
53,5
54,5
55,0
56,0
57,0
58,5
59,5
60,5
61,5
62,5
63,0
64,0
65,0
66,5
67,5
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,3
81,3
82,3
83,0
84,0
85,0
86,0
87,0
88,0
89,3
90,3
91,3
92,0
93,0
94,3
95,3
96,4
97,4
98,4
99,5
100,5
101,5
102,3
103,3
104,3
105,3
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,5
115,5
116,5
117,3
118,3
119,4
120,3
121,3
122,4
123,4
124,4
125,4
126,4
127,5
128,5
129,5
130,5
131,5
132,5
133,4
134,4
135,4
136,4
137,3
138,3
139,3
140,3
141,3
142,5
143,5
144,4
145,4
146,4
147,3
148,4
149,4
150,3
151,3
152,4
153,4
154,4
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,3
173,3
174,3
175,3
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,3
187,3
